SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 5
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
COST: 0.750000
---------------------------
Steps Taken: 32 | Time Diff: 1957.41
Steps Taken: 33 | Time Diff: 1962.51
Steps Taken: 34 | Time Diff: 1967.6
Steps Taken: 35 | Time Diff: 1972.69
Steps Taken: 36 | Time Diff: 1977.79
Steps Taken: 37 | Time Diff: 1982.88
Steps Taken: 38 | Time Diff: 1987.99
Steps Taken: 39 | Time Diff: 1993.08
Steps Taken: 40 | Time Diff: 1998.18
Steps Taken: 41 | Time Diff: 2003.28
Steps Taken: 42 | Time Diff: 2008.38
Steps Taken: 43 | Time Diff: 2013.48
Steps Taken: 44 | Time Diff: 2018.59
Steps Taken: 45 | Time Diff: 2023.68
Steps Taken: 46 | Time Diff: 2028.78
Steps Taken: 47 | Time Diff: 2033.88
Steps Taken: 48 | Time Diff: 2038.97
Steps Taken: 49 | Time Diff: 2044.07
Steps Taken: 50 | Time Diff: 2049.17
Steps Taken: 1 | Time Diff: 2054.27
Steps Taken: 2 | Time Diff: 2059.37
Steps Taken: 3 | Time Diff: 2064.47
Steps Taken: 4 | Time Diff: 2069.58
Steps Taken: 5 | Time Diff: 2074.69
Steps Taken: 6 | Time Diff: 2079.8
Steps Taken: 7 | Time Diff: 2084.91
Steps Taken: 8 | Time Diff: 2090.02
Steps Taken: 9 | Time Diff: 2095.11
Steps Taken: 10 | Time Diff: 2100.21
Steps Taken: 11 | Time Diff: 2105.31
Steps Taken: 12 | Time Diff: 2110.4
Steps Taken: 13 | Time Diff: 2115.5
Steps Taken: 14 | Time Diff: 2120.61
Steps Taken: 15 | Time Diff: 2125.71
Steps Taken: 16 | Time Diff: 2130.82
Steps Taken: 17 | Time Diff: 2135.92
Steps Taken: 18 | Time Diff: 2141.03
Steps Taken: 19 | Time Diff: 2146.13
Steps Taken: 20 | Time Diff: 2151.23
Steps Taken: 21 | Time Diff: 2156.33
Steps Taken: 22 | Time Diff: 2161.43
Steps Taken: 23 | Time Diff: 2166.52
Steps Taken: 24 | Time Diff: 2171.61
Steps Taken: 25 | Time Diff: 2176.71
Steps Taken: 26 | Time Diff: 2181.81
Steps Taken: 27 | Time Diff: 2186.9
Steps Taken: 28 | Time Diff: 2192.0
Steps Taken: 29 | Time Diff: 2197.1
Steps Taken: 30 | Time Diff: 2202.19
Steps Taken: 31 | Time Diff: 2207.29
Steps Taken: 32 | Time Diff: 2212.4
Steps Taken: 33 | Time Diff: 2217.49
Steps Taken: 34 | Time Diff: 2222.59
Steps Taken: 35 | Time Diff: 2227.69
Steps Taken: 36 | Time Diff: 2232.78
Steps Taken: 37 | Time Diff: 2237.88
Steps Taken: 38 | Time Diff: 2242.97
Steps Taken: 39 | Time Diff: 2248.08
Steps Taken: 40 | Time Diff: 2253.17
Steps Taken: 41 | Time Diff: 2258.27
Steps Taken: 42 | Time Diff: 2263.37
Steps Taken: 43 | Time Diff: 2268.47
Steps Taken: 44 | Time Diff: 2273.57
Steps Taken: 45 | Time Diff: 2278.66
Steps Taken: 46 | Time Diff: 2283.76
Steps Taken: 47 | Time Diff: 2288.85
Steps Taken: 48 | Time Diff: 2293.95
Steps Taken: 49 | Time Diff: 2299.05
Steps Taken: 50 | Time Diff: 2304.15
Steps Taken: 1 | Time Diff: 2309.26
Steps Taken: 2 | Time Diff: 2314.37
Steps Taken: 3 | Time Diff: 2319.48
Steps Taken: 4 | Time Diff: 2324.58
Steps Taken: 5 | Time Diff: 2329.68
Steps Taken: 6 | Time Diff: 2334.79
Steps Taken: 7 | Time Diff: 2339.89
Steps Taken: 8 | Time Diff: 2345.01
Steps Taken: 9 | Time Diff: 2350.11
Steps Taken: 10 | Time Diff: 2355.21
Steps Taken: 11 | Time Diff: 2360.32
Steps Taken: 12 | Time Diff: 2365.42
Steps Taken: 13 | Time Diff: 2370.53
Steps Taken: 14 | Time Diff: 2375.64
Steps Taken: 15 | Time Diff: 2380.74
Steps Taken: 16 | Time Diff: 2385.85
Steps Taken: 17 | Time Diff: 2390.95
Steps Taken: 18 | Time Diff: 2396.05
Steps Taken: 19 | Time Diff: 2401.15
Steps Taken: 20 | Time Diff: 2406.26
Steps Taken: 21 | Time Diff: 2411.37
Steps Taken: 22 | Time Diff: 2416.48
Steps Taken: 23 | Time Diff: 2421.59
Steps Taken: 24 | Time Diff: 2426.7
Steps Taken: 25 | Time Diff: 2431.81
Steps Taken: 26 | Time Diff: 2436.92
Steps Taken: 27 | Time Diff: 2442.02
Steps Taken: 28 | Time Diff: 2447.12
Steps Taken: 29 | Time Diff: 2452.23
Steps Taken: 30 | Time Diff: 2457.33
Steps Taken: 31 | Time Diff: 2462.45
Steps Taken: 32 | Time Diff: 2467.55
Steps Taken: 33 | Time Diff: 2472.65
Steps Taken: 34 | Time Diff: 2477.78
Steps Taken: 35 | Time Diff: 2482.88
Steps Taken: 36 | Time Diff: 2487.99
Steps Taken: 37 | Time Diff: 2493.09
Steps Taken: 38 | Time Diff: 2498.21
Steps Taken: 39 | Time Diff: 2503.31
Steps Taken: 40 | Time Diff: 2508.42
Steps Taken: 41 | Time Diff: 2513.52
Steps Taken: 42 | Time Diff: 2518.63
Steps Taken: 43 | Time Diff: 2523.73
Steps Taken: 44 | Time Diff: 2528.84
Steps Taken: 45 | Time Diff: 2533.94
Steps Taken: 46 | Time Diff: 2539.05
Steps Taken: 47 | Time Diff: 2544.16
Steps Taken: 48 | Time Diff: 2549.27
Steps Taken: 49 | Time Diff: 2554.38
Steps Taken: 50 | Time Diff: 2559.47
RESULTS ------------->
Trials: [[  10.  250.]]
(cost,beta): (0.75, 2)
(reward,accuracy): (0.0, 0.0)
Steps Taken: 1 | Time Diff: 2564.57
Steps Taken: 2 | Time Diff: 2569.67
Steps Taken: 3 | Time Diff: 2574.77
Steps Taken: 4 | Time Diff: 2579.87
Steps Taken: 5 | Time Diff: 2584.97
Steps Taken: 6 | Time Diff: 2590.06
Steps Taken: 7 | Time Diff: 2595.15
Steps Taken: 8 | Time Diff: 2600.25
Steps Taken: 9 | Time Diff: 2605.34
