SIMULATE WITH PROPERTIES:
---------------------------
BAMCP with ENV: N-armed Bernoulli Bandits
Miscalibration with Options: ['Sets a cost to sampling a bandit, with known bandit having a value of 0.', 'Unfavorable prior for non-zero bandit(s)']
BAMCP Settings: Discount: 0.950000, Epsilon: 0.100000, Num_Sims: 1500, Num_Steps: 50, Num_Trials: 10
BAMCP Priors: (Alpha=[[ 0.  0.]], Beta=[[ 0.  0.]])
True bandit probabilities: [ 0.5  1. ]
---------------------------
Acton: 0 | Reward: 0.850000
Steps Taken: 19 | Time Diff: 1577.42
Acton: 0 | Reward: -0.150000
Steps Taken: 20 | Time Diff: 1586.79
Acton: 0 | Reward: 0.850000
Steps Taken: 21 | Time Diff: 1596.15
Acton: 0 | Reward: -0.150000
Steps Taken: 22 | Time Diff: 1605.51
Acton: 0 | Reward: -0.150000
Steps Taken: 23 | Time Diff: 1614.88
Acton: 0 | Reward: 0.850000
Steps Taken: 24 | Time Diff: 1624.24
Acton: 0 | Reward: -0.150000
Steps Taken: 25 | Time Diff: 1633.62
Acton: 0 | Reward: -0.150000
Steps Taken: 26 | Time Diff: 1643.01
Acton: 0 | Reward: 0.850000
Steps Taken: 27 | Time Diff: 1652.4
Acton: 0 | Reward: -0.150000
Steps Taken: 28 | Time Diff: 1661.77
Acton: 0 | Reward: -0.150000
Steps Taken: 29 | Time Diff: 1671.15
Acton: 0 | Reward: 0.850000
Steps Taken: 30 | Time Diff: 1680.51
Acton: 0 | Reward: -0.150000
Steps Taken: 31 | Time Diff: 1689.88
Acton: 0 | Reward: 0.850000
Steps Taken: 32 | Time Diff: 1699.26
Acton: 0 | Reward: -0.150000
Steps Taken: 33 | Time Diff: 1708.62
Acton: 0 | Reward: -0.150000
Steps Taken: 34 | Time Diff: 1718.0
Acton: 0 | Reward: 0.850000
Steps Taken: 35 | Time Diff: 1727.35
Acton: 0 | Reward: -0.150000
Steps Taken: 36 | Time Diff: 1736.72
Acton: 0 | Reward: 0.850000
Steps Taken: 37 | Time Diff: 1746.07
Acton: 0 | Reward: 0.850000
Steps Taken: 38 | Time Diff: 1755.42
Acton: 0 | Reward: 0.850000
Steps Taken: 39 | Time Diff: 1764.8
Acton: 0 | Reward: 0.850000
Steps Taken: 40 | Time Diff: 1774.16
Acton: 0 | Reward: -0.150000
Steps Taken: 41 | Time Diff: 1783.53
Acton: 0 | Reward: -0.150000
Steps Taken: 42 | Time Diff: 1792.91
Acton: 0 | Reward: -0.150000
Steps Taken: 43 | Time Diff: 1802.28
Acton: 0 | Reward: -0.150000
Steps Taken: 44 | Time Diff: 1811.65
Acton: 0 | Reward: -0.150000
Steps Taken: 45 | Time Diff: 1821.01
Acton: 0 | Reward: 0.850000
Steps Taken: 46 | Time Diff: 1830.39
Acton: 0 | Reward: -0.150000
Steps Taken: 47 | Time Diff: 1839.75
Acton: 0 | Reward: 0.850000
Steps Taken: 48 | Time Diff: 1849.1
Acton: 0 | Reward: 0.850000
Steps Taken: 49 | Time Diff: 1858.48
Acton: 0 | Reward: -0.150000
Steps Taken: 50 | Time Diff: 1867.86
Acton: 0 | Reward: 0.850000
Steps Taken: 1 | Time Diff: 1877.19
Acton: 0 | Reward: -0.150000
Steps Taken: 2 | Time Diff: 1886.55
Acton: 0 | Reward: -0.150000
Steps Taken: 3 | Time Diff: 1895.93
Acton: 0 | Reward: 0.850000
Steps Taken: 4 | Time Diff: 1905.3
Acton: 0 | Reward: 0.850000
Steps Taken: 5 | Time Diff: 1914.68
Acton: 0 | Reward: -0.150000
Steps Taken: 6 | Time Diff: 1924.06
Acton: 0 | Reward: 0.850000
Steps Taken: 7 | Time Diff: 1933.44
Acton: 0 | Reward: 0.850000
Steps Taken: 8 | Time Diff: 1942.83
Acton: 0 | Reward: 0.850000
Steps Taken: 9 | Time Diff: 1952.23
Acton: 0 | Reward: 0.850000
Steps Taken: 10 | Time Diff: 1961.6
Acton: 0 | Reward: 0.850000
Steps Taken: 11 | Time Diff: 1970.97
Acton: 0 | Reward: 0.850000
Steps Taken: 12 | Time Diff: 1980.33
Acton: 0 | Reward: 0.850000
Steps Taken: 13 | Time Diff: 1989.71
Acton: 0 | Reward: 0.850000
Steps Taken: 14 | Time Diff: 1999.08
Acton: 0 | Reward: -0.150000
Steps Taken: 15 | Time Diff: 2008.46
Acton: 0 | Reward: -0.150000
Steps Taken: 16 | Time Diff: 2017.83
Acton: 0 | Reward: 0.850000
Steps Taken: 17 | Time Diff: 2027.2
Acton: 0 | Reward: 0.850000
Steps Taken: 18 | Time Diff: 2036.55
Acton: 0 | Reward: 0.850000
Steps Taken: 19 | Time Diff: 2045.92
Acton: 0 | Reward: 0.850000
Steps Taken: 20 | Time Diff: 2055.29
Acton: 0 | Reward: 0.850000
Steps Taken: 21 | Time Diff: 2064.68
Acton: 0 | Reward: -0.150000
Steps Taken: 22 | Time Diff: 2074.04
Acton: 0 | Reward: 0.850000
Steps Taken: 23 | Time Diff: 2083.42
Acton: 0 | Reward: 0.850000
Steps Taken: 24 | Time Diff: 2092.79
Acton: 0 | Reward: -0.150000
Steps Taken: 25 | Time Diff: 2102.18
Acton: 0 | Reward: 0.850000
Steps Taken: 26 | Time Diff: 2111.55
Acton: 0 | Reward: 0.850000
Steps Taken: 27 | Time Diff: 2120.9
Acton: 0 | Reward: -0.150000
Steps Taken: 28 | Time Diff: 2130.27
Acton: 0 | Reward: -0.150000
Steps Taken: 29 | Time Diff: 2139.66
Acton: 0 | Reward: 0.850000
Steps Taken: 30 | Time Diff: 2149.03
Acton: 0 | Reward: -0.150000
Steps Taken: 31 | Time Diff: 2158.4
Acton: 0 | Reward: -0.150000
Steps Taken: 32 | Time Diff: 2167.76
Acton: 0 | Reward: 0.850000
Steps Taken: 33 | Time Diff: 2177.15
Acton: 0 | Reward: 0.850000
Steps Taken: 34 | Time Diff: 2186.53
Acton: 0 | Reward: -0.150000
Steps Taken: 35 | Time Diff: 2195.88
Acton: 0 | Reward: 0.850000
Steps Taken: 36 | Time Diff: 2205.27
Acton: 0 | Reward: 0.850000
Steps Taken: 37 | Time Diff: 2214.64
Acton: 0 | Reward: -0.150000
Steps Taken: 38 | Time Diff: 2224.04
Acton: 0 | Reward: -0.150000
Steps Taken: 39 | Time Diff: 2233.41
Acton: 0 | Reward: 0.850000
Steps Taken: 40 | Time Diff: 2242.79
Acton: 0 | Reward: 0.850000
Steps Taken: 41 | Time Diff: 2252.17
Acton: 0 | Reward: -0.150000
Steps Taken: 42 | Time Diff: 2261.56
Acton: 0 | Reward: -0.150000
Steps Taken: 43 | Time Diff: 2270.94
Acton: 0 | Reward: -0.150000
Steps Taken: 44 | Time Diff: 2280.32
Acton: 0 | Reward: 0.850000
Steps Taken: 45 | Time Diff: 2289.7
Acton: 0 | Reward: -0.150000
Steps Taken: 46 | Time Diff: 2299.07
Acton: 0 | Reward: 0.850000
Steps Taken: 47 | Time Diff: 2308.44
Acton: 0 | Reward: -0.150000
Steps Taken: 48 | Time Diff: 2317.82
Acton: 0 | Reward: 0.850000
Steps Taken: 49 | Time Diff: 2327.2
Acton: 0 | Reward: -0.150000
Steps Taken: 50 | Time Diff: 2336.56
Acton: 0 | Reward: 0.850000
Steps Taken: 1 | Time Diff: 2345.88
Acton: 0 | Reward: -0.150000
Steps Taken: 2 | Time Diff: 2355.24
Acton: 0 | Reward: 0.850000
Steps Taken: 3 | Time Diff: 2364.61
Acton: 0 | Reward: 0.850000
Steps Taken: 4 | Time Diff: 2374.0
Acton: 0 | Reward: 0.850000
Steps Taken: 5 | Time Diff: 2383.36
Acton: 0 | Reward: -0.150000
Steps Taken: 6 | Time Diff: 2392.72
Acton: 0 | Reward: -0.150000
Steps Taken: 7 | Time Diff: 2402.1
Acton: 0 | Reward: 0.850000
Steps Taken: 8 | Time Diff: 2411.5
Acton: 0 | Reward: -0.150000
Steps Taken: 9 | Time Diff: 2420.85
Acton: 0 | Reward: 0.850000
Steps Taken: 10 | Time Diff: 2430.2
Acton: 0 | Reward: -0.150000
Steps Taken: 11 | Time Diff: 2439.58
Acton: 0 | Reward: 0.850000
Steps Taken: 12 | Time Diff: 2448.97
Acton: 0 | Reward: -0.150000
Steps Taken: 13 | Time Diff: 2458.35
Acton: 0 | Reward: 0.850000
Steps Taken: 14 | Time Diff: 2467.71
Acton: 0 | Reward: -0.150000
Steps Taken: 15 | Time Diff: 2477.08
Acton: 0 | Reward: 0.850000
Steps Taken: 16 | Time Diff: 2486.44
Acton: 0 | Reward: 0.850000
Steps Taken: 17 | Time Diff: 2495.82
